iter	Passed	Remaining
0	0	930
1	2	1151
2	3	1072
3	4	999
4	4	962
5	5	947
6	6	923
7	7	907
8	8	882
9	8	860
10	9	839
11	9	819
12	10	809
13	11	803
14	12	797
15	12	790
16	13	784
17	14	776
18	14	770
19	15	761
20	16	761
21	17	774
22	18	783
23	19	777
24	19	778
25	20	776
26	21	772
27	22	767
28	22	762
29	23	757
30	24	754
31	24	751
32	25	751
33	26	750
34	27	746
35	27	746
36	28	743
37	29	740
38	29	737
39	30	734
40	31	732
41	32	739
42	33	742
43	34	740
44	34	737
45	35	734
46	36	731
47	36	729
48	37	727
49	38	724
50	38	722
51	39	720
52	40	718
53	40	716
54	41	714
55	42	712
56	42	710
57	43	709
58	44	707
59	45	705
60	45	703
61	46	700
62	47	700
63	48	704
64	49	717
65	50	717
66	51	715
67	52	714
68	52	713
69	53	711
70	54	711
71	55	709
72	55	708
73	56	706
74	57	704
75	57	702
76	58	700
77	59	698
78	59	696
79	60	694
80	61	692
81	61	692
82	62	686
83	63	690
84	64	690
85	65	691
86	65	691
87	66	689
88	67	689
89	68	687
90	68	687
91	69	686
92	70	684
93	70	683
94	71	681
95	72	680
96	72	679
97	73	677
98	74	674
99	74	673
100	75	672
101	76	671
102	76	670
103	78	674
104	79	673
105	79	672
106	80	671
107	81	673
108	82	672
109	82	671
110	83	670
111	84	669
112	85	667
113	85	666
114	86	665
115	87	663
116	87	660
117	88	660
118	88	658
119	89	657
120	90	656
121	90	653
122	91	652
123	92	650
124	93	654
125	94	655
126	95	653
127	95	651
128	96	651
129	97	650
130	97	649
131	98	648
132	99	647
133	100	646
134	100	645
135	101	643
136	101	642
137	102	641
138	103	640
139	104	639
140	104	639
141	105	636
142	105	634
143	106	634
144	107	634
145	108	636
146	109	636
147	110	636
148	111	635
149	111	634
150	112	633
151	113	633
152	114	632
153	114	631
154	115	630
155	116	629
156	117	628
157	117	627
158	118	626
159	119	626
160	119	624
161	120	623
162	121	622
163	122	622
164	123	623
165	124	624
166	125	623
167	125	622
168	126	622
169	127	621
170	128	620
171	128	620
172	129	618
173	130	617
174	130	616
175	131	615
176	132	614
177	132	613
178	133	611
179	134	611
180	134	609
181	135	608
182	136	607
183	136	606
184	137	604
185	138	604
186	139	605
187	139	603
188	140	602
189	141	602
190	141	601
191	142	600
192	143	599
193	143	597
194	144	596
195	145	595
196	145	594
197	146	593
198	147	592
199	147	591
200	148	590
201	149	590
202	150	589
203	150	588
204	151	588
205	152	586
206	153	586
207	154	587
208	154	586
209	155	585
210	156	584
211	157	583
212	157	583
213	158	582
214	159	581
215	160	580
216	160	579
217	161	578
218	162	578
219	162	577
220	163	577
221	164	576
222	165	575
223	166	575
224	166	573
225	167	573
226	168	572
227	169	573
228	170	572
229	170	571
230	171	570
231	172	569
232	172	568
233	173	567
234	174	566
235	174	565
236	175	564
237	176	563
238	176	562
239	177	561
240	177	560
241	178	559
242	179	558
243	179	557
244	180	556
245	181	555
246	181	554
247	182	553
248	183	552
249	184	552
250	184	551
251	185	550
252	186	550
253	186	548
254	187	547
255	188	547
256	188	546
257	189	545
258	190	544
259	191	543
260	191	542
261	192	541
262	192	540
263	193	539
264	194	538
265	194	537
266	195	536
267	196	535
268	196	534
269	197	533
270	198	532
271	199	532
272	199	532
273	200	531
274	201	530
275	201	529
276	202	528
277	203	527
278	203	526
279	204	526
280	205	525
281	206	524
282	206	523
283	207	522
284	207	521
285	208	520
286	209	519
287	209	518
288	210	517
289	211	516
290	211	516
291	212	515
292	213	514
293	214	514
294	215	514
295	215	513
296	216	512
297	217	512
298	218	511
299	218	510
300	219	510
301	220	509
302	221	509
303	222	508
304	222	507
305	223	506
306	224	505
307	224	504
308	225	504
309	226	503
310	226	502
311	227	501
312	228	500
313	228	500
314	230	500
315	230	499
316	231	498
317	232	497
318	232	497
319	233	496
320	234	495
321	234	494
322	235	493
323	236	492
324	236	492
325	237	491
326	238	490
327	238	489
328	239	488
329	240	487
330	240	486
331	241	485
332	242	484
333	242	484
334	243	483
335	244	483
336	245	483
337	246	482
338	247	481
339	247	480
340	248	480
341	249	479
342	249	478
343	250	477
344	251	476
345	251	476
346	252	475
347	253	474
348	253	473
349	254	472
350	255	471
351	255	470
352	256	469
353	257	469
354	257	468
355	258	467
356	258	466
357	259	466
358	261	466
359	261	465
360	262	464
361	263	463
362	263	463
363	264	462
364	265	461
365	265	460
366	266	459
367	267	458
368	267	458
369	268	457
370	269	456
371	269	455
372	270	454
373	271	453
374	271	453
375	272	452
376	273	451
377	273	450
378	274	450
379	275	450
380	276	449
381	277	448
382	278	447
383	278	447
384	279	446
385	280	445
386	280	444
387	281	444
388	282	443
389	282	442
390	283	441
391	284	440
392	284	439
393	285	439
394	286	438
395	286	437
396	287	436
397	288	435
398	288	434
399	289	434
400	290	434
401	291	434
402	292	433
403	293	433
404	294	432
405	294	431
406	295	430
407	296	429
408	297	429
409	297	428
410	298	427
411	299	427
412	299	426
413	300	425
414	301	424
415	302	424
416	303	423
417	303	423
418	304	422
419	305	422
420	306	421
421	307	421
422	308	420
423	308	419
424	309	418
425	310	417
426	310	416
427	311	416
428	311	415
429	312	414
430	313	413
431	314	412
432	314	412
433	315	411
434	316	410
435	316	409
436	317	408
437	318	408
438	318	407
439	319	406
440	320	406
441	321	405
442	321	404
443	322	403
444	323	403
445	323	402
446	324	401
447	325	400
448	325	399
449	326	399
450	327	398
451	328	397
452	328	396
453	329	396
454	330	395
455	330	394
456	331	393
457	332	393
458	332	392
459	333	391
460	334	391
461	335	390
462	336	390
463	337	389
464	337	388
465	338	387
466	339	387
467	340	386
468	340	385
469	341	385
470	342	384
471	342	383
472	343	382
473	344	382
474	344	381
475	345	380
476	346	379
477	346	378
478	347	378
479	348	377
480	348	376
481	349	375
482	350	375
483	351	374
484	352	374
485	353	373
486	354	373
487	354	372
488	355	371
489	356	370
490	356	369
491	357	369
492	358	368
493	358	367
494	359	366
495	360	365
496	360	365
497	361	364
498	362	363
499	363	363
500	363	362
501	364	361
502	365	361
503	366	361
504	367	360
505	368	359
506	369	358
507	369	358
